example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:15.688152Z DEBUG ingest_handler{payload_size_bytes=829 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=3 edges_updated=3}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=3
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:15.695688Z DEBUG ingest_handler{payload_size_bytes=829 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=3 edges_updated=3}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:15.696098Z DEBUG scheduler::transport: POST /ingest -> http://ssp-2:8667/ingest
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:15.696701Z DEBUG ingest_handler{payload_size_bytes=829 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=3 edges_updated=3}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=3
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:15.698340Z DEBUG ingest_handler{payload_size_bytes=829 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=3 edges_updated=3}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:15.698639Z DEBUG scheduler::transport: POST /ingest -> http://ssp-3:8667/ingest
example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:15.698912Z DEBUG ingest_handler{payload_size_bytes=829 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=1 edges_updated=1}:update_all_edges{total_operations=1}: ssp_server: Processing edge operations created=0 updated=1 deleted=0 views=1
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:15.699724Z  INFO scheduler::ingest: Ingest processed successfully seq=23
example/schema dev:example: ssp-3-1             | 2026-02-28T00:18:15.699596Z DEBUG ingest_handler{payload_size_bytes=829 table="thread" op="UPDATE" id="thread:1d8464e302c94600981f547b97d70438" views_affected=1 edges_updated=1}:update_all_edges{total_operations=1}: ssp::edges: Edge update transaction completed successfully operations=1
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:17.294188Z  INFO scheduler::ingest: Received ingest: UPDATE thread:1d8464e302c94600981f547b97d70438 on thread
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:17.294407Z  INFO scheduler::ingest: Broadcasting to 3 ready SSPs
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:17.294423Z DEBUG scheduler::transport: POST /ingest -> http://ssp-1:8667/ingest
